E_n (eV),dN/dE (pdf)
0.000553546,2.78E-04
0.000557318,3.16E-04
0.000561129,2.71E-04
0.000564979,3.73E-04
0.000568869,2.88E-04
0.000572799,3.37E-04
0.00057677,2.93E-04
0.000580782,3.01E-04
0.000584836,3.60E-04
0.000588933,3.36E-04
0.000593073,3.40E-04
0.000597257,3.79E-04
0.000601486,3.83E-04
0.000605759,3.66E-04
0.000610078,3.96E-04
0.000614444,4.14E-04
0.000618856,4.12E-04
0.000623316,4.34E-04
0.000627825,3.84E-04
0.000632383,4.24E-04
0.00063699,4.21E-04
0.000641648,4.35E-04
0.000646357,4.49E-04
0.000651119,5.24E-04
0.000655933,4.62E-04
0.000660801,5.06E-04
0.000665723,5.38E-04
0.0006707,5.23E-04
0.000675734,5.60E-04
0.000680824,5.21E-04
0.000685972,5.32E-04
0.000691178,5.33E-04
0.000696445,5.80E-04
0.000701771,6.19E-04
0.000707159,5.85E-04
0.000712609,5.93E-04
0.000718122,6.54E-04
0.0007237,6.27E-04
0.000729343,6.49E-04
0.000735052,6.80E-04
0.000740829,7.06E-04
0.000746673,7.06E-04
0.000752588,7.55E-04
0.000758572,7.89E-04
0.000764629,7.20E-04
0.000770758,7.42E-04
0.000776961,8.20E-04
0.00078324,8.38E-04
0.000789595,8.40E-04
0.000796027,8.33E-04
0.000802539,8.58E-04
0.00080913,8.61E-04
0.000815803,9.07E-04
0.00082256,9.28E-04
0.0008294,8.82E-04
0.000836326,9.73E-04
0.000843339,9.84E-04
0.000850441,1.01E-03
0.000857633,1.03E-03
0.000864916,1.09E-03
0.000872293,1.07E-03
0.000879764,1.13E-03
0.000887332,1.18E-03
0.000894998,1.18E-03
0.000902764,1.18E-03
0.000910631,1.23E-03
0.000918601,1.24E-03
0.000926677,1.29E-03
0.00093486,1.32E-03
0.000943151,1.33E-03
0.000951553,1.38E-03
0.000960068,1.40E-03
0.000968698,1.48E-03
0.000977445,1.45E-03
0.00098631,1.52E-03
0.000995297,1.55E-03
0.001004407,1.59E-03
0.001013643,1.64E-03
0.001023007,1.69E-03
0.001032501,1.70E-03
0.001042128,1.77E-03
0.00105189,1.78E-03
0.001061791,1.86E-03
0.001071831,1.87E-03
0.001082015,1.89E-03
0.001092344,1.97E-03
0.001102822,1.97E-03
0.001113452,2.03E-03
0.001124236,2.08E-03
0.001135177,2.18E-03
0.001146279,2.22E-03
0.001157545,2.24E-03
0.001168977,2.33E-03
0.00118058,2.36E-03
0.001192356,2.41E-03
0.001204309,2.48E-03
0.001216443,2.53E-03
0.001228762,2.61E-03
0.001241268,2.67E-03
0.001253966,2.71E-03
0.001266861,2.77E-03
0.001279955,2.83E-03
0.001293253,2.96E-03
0.001306759,3.02E-03
0.001320478,3.09E-03
0.001334415,3.13E-03
0.001348573,3.22E-03
0.001362958,3.24E-03
0.001377574,3.36E-03
0.001392426,3.41E-03
0.00140752,3.53E-03
0.001422861,3.56E-03
0.001438454,3.67E-03
0.001454304,3.76E-03
0.001470418,3.77E-03
0.001486802,3.90E-03
0.00150346,3.96E-03
0.001520401,4.08E-03
0.001537629,4.16E-03
0.001555152,4.25E-03
0.001572976,4.35E-03
0.001591108,4.43E-03
0.001609555,4.54E-03
0.001628325,4.60E-03
0.001647426,4.75E-03
0.001666864,4.82E-03
0.001686649,4.93E-03
0.001706788,5.05E-03
0.001727289,5.16E-03
0.001748163,5.21E-03
0.001769417,5.33E-03
0.001791061,5.46E-03
0.001813105,5.55E-03
0.001835558,5.66E-03
0.00185843,5.77E-03
0.001881733,5.92E-03
0.001905477,6.01E-03
0.001929674,6.16E-03
0.001954334,6.26E-03
0.00197947,6.35E-03
0.002005094,6.47E-03
0.002031218,6.60E-03
0.002057857,6.73E-03
0.002085023,6.84E-03
0.002112731,6.98E-03
0.002140994,7.09E-03
0.002169829,7.25E-03
0.00219925,7.35E-03
0.002229274,7.52E-03
0.002259916,7.61E-03
0.002291195,7.72E-03
0.002323128,7.86E-03
0.002355733,8.00E-03
0.002389029,8.16E-03
0.002423036,8.27E-03
0.002457774,8.39E-03
0.002493265,8.56E-03
0.00252953,8.65E-03
0.002566593,8.80E-03
0.002604475,8.97E-03
0.002643203,9.04E-03
0.002682801,9.18E-03
0.002723296,9.32E-03
0.002764714,9.45E-03
0.002807084,9.56E-03
0.002850436,9.71E-03
0.002894801,9.78E-03
0.002940208,9.95E-03
0.002986693,1.00E-02
0.003034289,1.02E-02
0.003083032,1.03E-02
0.003132959,1.04E-02
0.003184108,1.05E-02
0.003236521,1.06E-02
0.003290238,1.07E-02
0.003345304,1.08E-02
0.003401764,1.08E-02
0.003459665,1.09E-02
0.003519057,1.09E-02
0.003579992,1.09E-02
0.003642524,1.07E-02
0.003706708,1.05E-02
0.003772604,1.02E-02
0.003840272,9.80E-03
0.003909778,9.22E-03
0.003981188,8.55E-03
0.004054572,7.74E-03
0.004130005,6.83E-03
0.004207562,5.92E-03
0.004287324,5.10E-03
0.004369376,4.43E-03
0.004453807,3.97E-03
0.004540708,3.80E-03
0.004630178,3.84E-03
0.004722319,4.10E-03
0.004817238,4.49E-03
0.004915047,4.99E-03
0.005015866,5.50E-03
0.005119819,5.98E-03
0.005227037,6.32E-03
0.005337659,6.52E-03
0.005451831,6.58E-03
0.005569705,6.52E-03
0.005691443,6.46E-03
0.005817217,6.33E-03
0.005947207,6.20E-03
0.006081603,6.07E-03
0.006220606,5.99E-03
0.006364431,5.94E-03
0.006513301,5.97E-03
0.006667457,6.02E-03
0.006827151,6.08E-03
0.006992651,6.12E-03
0.007164244,6.13E-03
0.007342231,6.13E-03
0.007526934,6.10E-03
0.007718695,6.08E-03
0.007917879,5.98E-03
0.008124874,5.85E-03
0.008340093,5.69E-03
0.008563978,5.50E-03
0.008797001,5.32E-03
0.009039665,5.07E-03
0.009292511,4.76E-03
0.009556115,4.46E-03
0.009831097,4.20E-03
0.010118121,4.00E-03
0.010417901,3.89E-03
0.010731204,3.88E-03
0.011058856,3.88E-03
0.011401746,3.93E-03
0.011760834,4.02E-03
0.012137157,4.10E-03
0.012531835,4.14E-03
0.012946083,4.11E-03
0.013381215,4.00E-03
0.01383866,3.82E-03
0.014319969,3.60E-03
0.014826831,3.33E-03
0.015361089,3.01E-03
0.015924752,2.67E-03
0.016520019,2.34E-03
0.017149297,2.03E-03
0.017815228,1.77E-03
0.018520713,1.55E-03
0.01926895,1.36E-03
0.020063463,1.21E-03
0.020908149,1.10E-03
0.021807322,9.98E-04
0.022765773,9.16E-04
0.023788827,8.30E-04
0.024882425,7.45E-04
0.026053205,6.60E-04
0.027308603,5.83E-04
0.028656975,5.15E-04
0.030107735,4.56E-04
0.031671516,4.02E-04
0.033360371,3.52E-04
0.035188002,3.08E-04
0.037170043,2.66E-04
0.039324388,2.28E-04
0.041671605,1.96E-04
0.044235423,1.67E-04
0.047043335,1.40E-04
0.050127342,1.15E-04
0.053524861,9.36E-05
0.057279876,7.39E-05
0.061444356,5.70E-05
0.066080076,4.20E-05
0.07126091,2.96E-05
0.077075801,2.02E-05
0.083632596,1.31E-05
0.091063091,8.12E-06
0.099529701,4.74E-06
0.109234411,2.69E-06
0.120430938,1.47E-06
0.133441483,8.36E-07
0.148680171,4.37E-07
0.16668642,2.82E-07
0.188173341,1.42E-07
0.214099446,7.40E-08
0.245777425,5.29E-08
0.285043641,8.23E-09
0.334530384,9.82E-09
0.398118804,1.69E-08
0.481723753,1.09E-08
0.594720683,5.42E-10
0.752693364,4.23E-11
0.9831097,3.80E-09