Energy (eV),dn/dE (pdf)
0.000192789,0.00147338
0.0002005,0.001582478
0.000208683,0.001713018
0.000217377,0.001847053
0.000226626,0.002001451
0.000236478,0.002162703
0.000246987,0.002335463
0.000258212,0.002530773
0.00027022,0.002748084
0.000283086,0.00298573
0.000296893,0.003245658
0.000311736,0.003536551
0.000327719,0.003849698
0.000344965,0.004204166
0.000363608,0.00458109
0.000383805,0.005016447
0.000405732,0.005497176
0.000429594,0.006056024
0.000455624,0.006605946
0.000484094,0.00728494
0.000515318,0.008026431
0.000549663,0.008837978
0.00058756,0.009776189
0.000629516,0.010798193
0.000676131,0.011991671
0.000728123,0.013408553
0.00078635,0.014932102
0.000851852,0.016563253
0.000925893,0.018614671
0.001010023,0.020813394
0.001106164,0.023531931
0.001216715,0.026429637
0.001344706,0.029765088
0.001494008,0.033636896
0.00166963,0.037578688
0.001878143,0.042413233
0.002128301,0.04737739
0.002431983,0.05330263
0.00280562,0.059734448
0.003272476,0.065499435
0.003866346,0.069946872
0.004637862,0.070547746
0.005665643,0.064577337
0.007077153,0.056530407
0.00909021,0.043972817
0.012102351,0.030992947
0.016903283,0.019272008
0.025250584,0.011130135
0.041740761,0.005953392
0.081811892,0.002786702